year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2022,Miami,ACC,Coastal,4.9,12,5,7,0,8,3,5,0,7,2,5,0,5,3,2,0
2022,Miami (OH),Mid-American,East,3.6,13,6,7,0,8,4,4,0,5,3,2,0,6,3,3,0
2022,Michigan,Big Ten,East,12.6,14,13,1,0,10,10,0,0,8,8,0,0,4,4,0,0
2022,Michigan State,Big Ten,East,3.9,12,5,7,0,9,3,6,0,7,4,3,0,5,1,4,0
2022,Middle Tennessee,Conference USA,,7,13,8,5,0,8,4,4,0,5,3,2,0,7,4,3,0
2022,Minnesota,Big Ten,West,9.7,13,9,4,0,9,5,4,0,7,5,2,0,5,3,2,0
2022,Mississippi State,SEC,West,6.9,13,9,4,0,8,4,4,0,7,6,1,0,5,2,3,0
2022,Missouri,SEC,East,5.5,13,6,6,0,8,3,5,0,7,5,2,0,5,1,4,0
2022,Navy,American Athletic,,7.5,12,4,8,0,8,4,4,0,5,2,3,0,5,2,3,0
2022,NC State,ACC,Atlantic,6.9,13,8,5,0,8,4,4,0,7,6,1,0,5,2,3,0
2022,Nebraska,Big Ten,West,5,12,4,8,0,9,3,6,0,7,2,5,0,4,2,2,0
2022,Nevada,Mountain West,West,2.1,12,2,10,0,8,0,8,0,6,1,5,0,6,1,5,0
2022,New Mexico,Mountain West,Mountain,2.4,12,2,10,0,8,0,8,0,6,2,4,0,6,0,6,0
2022,New Mexico State,FBS Independents,,6.3,13,7,6,0,2,2,0,0,6,4,2,0,6,2,4,0
2022,North Carolina,ACC,Coastal,7.1,14,9,5,0,9,6,3,0,6,3,3,0,6,6,0,0
2022,Northern Illinois,Mid-American,West,5.7,12,3,9,0,8,2,6,0,6,1,5,0,6,2,4,0
2022,North Texas,Conference USA,,6.6,14,7,6,0,9,6,3,0,6,5,1,0,7,2,5,0
2022,Northwestern,Big Ten,West,3.5,12,1,11,0,9,1,8,0,6,0,6,0,5,0,5,0
2022,Notre Dame,FBS Independents,,8.7,13,9,4,0,1,1,0,0,6,4,2,0,4,2,2,0
2022,Ohio,Mid-American,East,7.2,14,10,4,0,9,7,2,0,6,6,0,0,6,3,3,0
2022,Ohio State,Big Ten,East,9.8,13,11,2,0,9,8,1,0,8,7,1,0,4,4,0,0
2022,Oklahoma,Big 12,,7.3,13,6,7,0,9,3,6,0,6,4,2,0,5,2,3,0
2022,Oklahoma State,Big 12,,5.5,13,7,6,0,9,4,5,0,7,6,1,0,5,1,4,0
2022,Old Dominion,Sun Belt,East,1.5,12,3,9,0,8,2,6,0,6,2,4,0,6,1,5,0
2022,Ole Miss,SEC,West,9.3,13,8,4,0,8,4,4,0,7,5,2,0,5,3,2,0
2022,Oregon,Pac-12,,10.5,13,10,3,0,9,7,2,0,6,5,1,0,5,4,1,0
2022,Oregon State,Pac-12,,11.2,13,10,3,0,9,6,3,0,6,5,1,0,5,3,2,0
2022,Penn State,Big Ten,East,10.5,13,10,2,0,9,7,2,0,7,6,1,0,5,4,1,0
2022,Pittsburgh,ACC,Coastal,9.3,13,9,4,0,8,5,3,0,7,5,2,0,5,3,2,0
2022,Purdue,Big Ten,West,6.7,14,8,5,0,10,6,4,0,6,4,2,0,6,4,2,0
2022,Rice,Conference USA,,5.2,13,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2022,Rutgers,Big Ten,East,4.9,12,4,8,0,9,1,8,0,6,2,4,0,6,2,4,0
2022,San Diego State,Mountain West,West,7.6,13,7,6,0,8,5,3,0,7,5,2,0,5,2,3,0
2022,San José State,Mountain West,West,5.5,12,7,5,0,8,5,3,0,6,6,0,0,5,1,4,0
2022,SMU,American Athletic,,6.5,13,7,6,0,8,5,3,0,6,4,2,0,6,3,3,0
2022,South Alabama,Sun Belt,West,10.3,13,10,3,0,8,7,1,0,6,5,1,0,6,5,1,0
2022,South Carolina,SEC,East,6.8,13,8,5,0,8,4,4,0,7,5,2,0,5,3,2,0
